Product Name,Value 1,Value 2 (Korean),Value 2 (English),Value 3,summary,image,reason,period,youtube
메밀,55.8,하,Low,1,"곡물, 척박한 땅에도 잘 자람.",,,,
메밀순,180.2,중,Medium,2,"메밀 새싹, 쌈채소 활용.",,,,
명아주,220.6,중,Medium,2,"나물용 풀, 줄기 식용 가능.",,,,
모과,160.3,중,Medium,2,"과일, 향이 좋고 약용 가치.",,,,
모시대,270.8,중,Medium,2,"산나물, 섬유질 풍부함.",,,,
모시잎,240.2,중,Medium,2,"모시 잎, 떡 재료로 활용.",,,,
목이,510.7,상,High,3,"버섯 종류, 중국 요리 필수.",,,,
무,70.1,하,Low,1,"뿌리채소, 김치 및 국물 재료.",,,,
무순,190.5,중,Medium,2,"무 새싹, 샐러드용 채소.",,,,
무청,150.3,중,Medium,2,"무 잎과 줄기, 시래기용 사용.",,,,
무화과,180.6,중,Medium,2,"과일, 달콤하고 부드러운 맛.",,,,
미나리,270.4,중,Medium,2,"수생 식물, 향긋한 나물.",,,,
민들레,215.7,중,Medium,2,"나물 및 약용, 강한 번식력.",,,,
박,105.2,하,Low,1,"열매 채소, 호박과 유사, 넓은 공간 필요.",,,,
밤,150.9,중,Medium,2,"견과류, 가을 수확, 저장 용이.",,,,
방아,175.3,중,Medium,2,"향신 식물, 독특한 향미.",,,,
방울양배추,210.8,중,Medium,2,"작은 양배추, 서양 채소.",,,,
방울토마토,650.4,상,High,3,"작은 토마토, 재배 쉬움.",,,,
방풍,205.1,중,Medium,2,"나물 및 약용, 바람에 강함.",,,,
방풍나물,205.1,중,Medium,2,"나물용 채소, 독특한 향.",,,,
배,140.2,중,Medium,2,"과일, 시원하고 달콤한 맛.",,,,
배추,80.5,하,Low,1,"김치 주재료, 가을 작물.",,,,
버찌,250.1,중,Medium,2,"벚나무 열매, 새가 좋아하는 열매.",,,,
보리,45.7,하,Low,1,"곡물, 척박한 땅에도 강함.",,,,
보리수,240.6,중,Medium,2,"열매 작물, 새콤달콤한 맛.",,,,
보리순,160.1,중,Medium,2,"보리 새싹, 건강 식품으로 인기.",,,,
복분자,320.9,중,Medium,2,"베리류 과일, 약용으로도 사용.",,,,
복숭아,165.4,중,Medium,2,"과일, 여름철 인기, 병충해 주의.",,,,
봄동배추,95.3,하,Low,1,"겨울 배추, 잎이 부드러움.",,,,
부지깽이,245.7,중,Medium,2,"나물용 산채, 쌉쌀한 맛.",,,,
부추,260.8,중,Medium,2,"향신 채소, 피로회복에 좋음.",,,,
브로코리(녹색꽃양배추),135.2,중,Medium,2,"서양 채소, 비타민 풍부.",,,,
블루베리,350.6,중,Medium,2,"베리류 과일, 항산화 효과.",,,,
비름,190.1,중,Medium,2,"나물용 풀, 성장 빠르고 강함.",,,,
비타민,160.5,중,Medium,2,"쌈채소, 재배 쉽고 영양 풍부.",,,,
비트(붉은사탕무우),95.8,하,Low,1,"뿌리채소, 색깔 예쁨.",,,,
비파,185.3,중,Medium,2,"과일, 약용 가치, 아열대 식물.",,,,
빈스,180.9,중,Medium,2,"콩과 식물, 꼬투리 식용.",,,,
사과,145.7,중,Medium,2,"과일, 다양한 품종, 저장 용이.",,,,
산마늘,325.8,중,Medium,2,"나물용 산채, 향이 강하고 귀함.",,,,
산양삼,1500.2,상,High,3,"약용 식물, 깊은 산속 자생.",,,,
살구,170.5,중,Medium,2,"과일, 여름철 수확, 신맛 특징.",,,,
삼엽채,168.3,중,Medium,2,"쌈채소, 세 잎이 특징, 재배 용이.",,,,
삼채,215.9,중,Medium,2,"뿌리채소, 매운맛과 단맛 조화.",,,,
상추,160.4,중,Medium,2,"쌈채소 대표, 재배 쉽고 다양.",,,,
상황버섯,950.6,상,High,3,"약용 버섯, 자생 어렵고 귀함.",,,,
새송이,390.1,상,High,3,"버섯 종류, 식감 좋고 향미.",,,,
새싹,210.3,중,Medium,2,"어린 채소, 샐러드용 인기.",,,,
생강,170.8,중,Medium,2,"향신 채소, 뿌리 활용 다양.",,,,
석류,190.7,중,Medium,2,"과일, 여성 건강에 좋음.",,,,
셀러리(양미나리),175.9,중,Medium,2,"서양 채소, 향이 독특함.",,,,
솔잎,400.1,상,High,3,"소나무 잎, 약용으로 사용.",,,,
수박,120.4,하,Low,1,"과일, 여름철 대표, 넓은 공간 필요.",,,,
수삼,750.8,상,High,3,"인삼 생 뿌리, 약용 가치 높음.",,,,
수세미,110.6,하,Low,1,"열매 채소, 수세미로도 사용.",,,,
수수,60.3,하,Low,1,"곡물, 척박한 땅에도 강함.",,,,
숙주나물,250.2,중,Medium,2,"녹두 새싹, 성장 빠르고 쉬움.",,,,
순무,85.7,하,Low,1,"뿌리채소, 무와 유사, 샐러드.",,,,
시금치,150.1,중,Medium,2,"잎채소, 재배 쉽고 영양 풍부.",,,,
실파,220.5,중,Medium,2,"어린 파, 김치 및 양념용.",,,,
쌈채,170,중,Medium,2,"쌈용 채소, 다양한 종류 포함.",,,,
쌈추,165.4,중,Medium,2,"쌈용 배추, 부드러운 식감.",,,,
쑥,240.3,중,Medium,2,"나물 및 약용, 번식력 강함.",,,,
쑥갓,165.9,중,Medium,2,"잎채소, 향긋한 국물 채소.",,,,
씀바귀,225.4,중,Medium,2,"쌉쌀한 맛, 나물 및 약용.",,,,
아로니아,330.8,중,Medium,2,"베리류 과일, 항산화 효과.",,,,
아스파라가스,290.5,중,Medium,2,"고급 채소, 서양 요리.",,,,
아욱,185.1,중,Medium,2,"국물 채소, 영양 풍부하고 쉬움.",,,,
알로애,310.2,중,Medium,2,"약용 식물, 잎 활용 다양.",,,,
알타리무,90.6,하,Low,1,"총각무, 김치 담그기 좋음.",,,,
애느타리버섯,410.2,상,High,3,"작은 느타리, 식감 좋음.",,,,
앵두,260.3,중,Medium,2,"열매, 달콤하고 새콤한 맛.",,,,
야콘,100.7,하,Low,1,"뿌리채소, 고구마와 유사, 당도.",,,,
양배추,85.1,하,Low,1,"서양 채소, 다양한 요리 활용.",,,,
양상추,150.6,중,Medium,2,"샐러드용 채소, 아삭한 식감.",,,,
양송이,420.3,상,High,3,"일반 버섯, 서양 요리 필수.",,,,
양파,105.9,하,Low,1,"뿌리채소, 요리 필수 향신.",,,,
양하,235.4,중,Medium,2,"줄기 식용, 독특한 향미.",,,,
어린잎,195.8,중,Medium,2,"어린 채소, 샐러드용 인기.",,,,
얼갈이배추,90.2,하,Low,1,"어린 배추, 겉절이용.",,,,
엉게나물,250.1,중,Medium,2,"나물용 산채, 쌉쌀한 맛.",,,,
여주,115.8,하,Low,1,"열매 채소, 쓴맛 특징, 약용.",,,,
연근,180.7,중,Medium,2,"뿌리채소, 조림 및 튀김용.",,,,
열무,88.9,하,Low,1,"어린 무, 김치 담그기 좋음.",,,,
영지버섯,880.4,상,High,3,"약용 버섯, 자생 어렵고 귀함.",,,,
오가피,280.1,중,Medium,2,"약용 식물, 뿌리 껍질 사용.",,,,
오디,310.7,중,Medium,2,"뽕나무 열매, 달콤하고 약용.",,,,
오렌지,114.5,하,Low,1,"감귤류 과일, 비타민 풍부.",,,,
오미자,340.2,중,Medium,2,"약용 열매, 다섯 가지 맛.",,,,
오이,550.6,상,High,3,"열매 채소, 재배 쉽고 수분 많음.",,,,
옥수수,65.9,하,Low,1,"곡물, 간식 및 주식 활용.",,,,
옻,350.4,중,Medium,2,"약용 식물, 알레르기 주의.",,,,
완두,100.1,하,Low,1,"콩과 작물, 어린 콩 식용.",,,,
우슬,270.5,중,Medium,2,"약용 식물, 뿌리 활용 다양.",,,,
우엉,120.2,하,Low,1,"뿌리채소, 조림 및 차로 활용.",,,,
우엉대,180.3,중,Medium,2,"우엉 줄기, 나물용으로 사용.",,,,
울금,185.7,중,Medium,2,"뿌리 향신, 강황과 유사, 약용.",,,,
원추리,265.5,중,Medium,2,"나물용 식물, 독성 제거 필요.",,,,
유자,140.9,중,Medium,2,"과일, 향이 좋고 차로 인기.",,,,
유채,70.8,하,Low,1,"기름 작물, 씨앗 기름 사용.",,,,
은행,420.5,상,High,3,"견과류, 독성 제거 필수, 약용.",,,,
음나무순,305.8,중,Medium,2,"봄나물, 쌉쌀한 맛 일품.",,,,
익모초,260.6,중,Medium,2,"약용 식물, 여성 건강에 좋음.",,,,
인삼,780.2,상,High,3,"약용 식물, 재배 까다롭고 귀함.",,,,
잎새,175.1,중,Medium,2,"쌈채소, 부드러운 식감 특징.",,,,
자두,175.6,중,Medium,2,"과일, 여름철 수확, 신맛 특징.",,,,
자몽,115.3,하,Low,1,"감귤류 과일, 쌉쌀한 맛.",,,,
자연산송이,2500.5,상,High,3,"고급 버섯, 인공 재배 어려움.",,,,
질경이,220.1,중,Medium,2,"나물 및 약용, 번식력 강함.",,,,
쪽파,140.3,중,Medium,2,"파 종류, 김치 및 양념용.",,,,
참깨,105.7,하,Low,1,"기름 작물, 씨앗 활용 다양.",,,,
참나물,250.7,중,Medium,2,"산나물, 향긋하고 부드러운 맛.",,,,
참다래,195.8,중,Medium,2,"키위와 유사, 시원한 맛.",,,,
참다래(키위),195.8,중,Medium,2,"과일, 비타민 풍부, 저장성.",,,,
참당귀,275.4,중,Medium,2,"약용 식물, 뿌리 활용 다양.",,,,
참외,260.2,중,Medium,2,"과일, 여름철 대표, 달콤함.",,,,
참죽나무순,315.3,중,Medium,2,"봄나물, 독특한 향미.",,,,
천마,920.8,상,High,3,"약용 식물, 뇌 건강에 좋음.",,,,
청경채,155.1,중,Medium,2,"쌈채소, 중국 요리 필수.",,,,
체리,270.9,중,Medium,2,"과일, 달콤하고 새콤한 맛.",,,,
초석잠,195.4,중,Medium,2,"뿌리채소, 뇌 건강에 좋음.",,,,
초피,360.2,중,Medium,2,"향신료, 독특한 향과 맛.",,,,
춘채,145.9,중,Medium,2,"봄 채소, 부드러운 식감.",,,,
취나물,270.1,중,Medium,2,"산나물, 향긋한 나물 대표.",,,,
치커리,168.8,중,Medium,2,"쌉쌀한 맛, 샐러드용 채소.",,,,
칼리플라워(꽃양배추),138.4,중,Medium,2,"서양 채소, 다양한 요리.",,,,
케일,158.7,중,Medium,2,"잎채소, 녹즙용으로 인기.",,,,
콜라비(순무양배추),98.2,하,Low,1,"뿌리채소, 아삭한 식감.",,,,
콩,50.3,하,Low,1,"밭작물, 단백질 풍부, 다양하게 활용.",,,,
콩나물,260.5,중,Medium,2,"콩 새싹, 성장 빠르고 쉬움.",,,,
탄제린,113.1,하,Low,1,"감귤류 과일, 달콤한 맛 특징.",,,,
탱자,155.4,중,Medium,2,"약용 식물, 껍질 활용 다양.",,,,
토란,115.1,하,Low,1,"뿌리채소, 탕이나 국에 활용.",,,,
토란대,170.4,중,Medium,2,"토란 줄기, 나물용으로 사용.",,,,
토마토,620.8,상,High,3,"열매 채소, 재배 쉽고 다양.",,,,
파세리(향미나리),180.8,중,Medium,2,"향신 채소, 서양 요리.",,,,
파프리카,510.3,상,High,3,"색깔 채소, 샐러드용 인기.",,,,
팥,85.9,하,Low,1,"곡물, 앙금 및 떡 재료.",,,,
팽이버섯,400.7,상,High,3,"일반 버섯, 식감 좋고 저렴.",,,,
포도,210.3,중,Medium,2,"과일, 다양한 품종, 재배 용이.",,,,
표고버섯,480.5,상,High,3,"향긋한 버섯, 요리 필수.",,,,
풋고추,470.2,상,High,3,"덜 익은 고추, 쌈 및 요리.",,,,
플럼코트,172.8,중,Medium,2,"자두와 살구 교배종, 새콤.",,,,
피마자잎,230.7,중,Medium,2,"나물용, 독성 제거 필수.",,,,
피망(단고추),490.5,상,High,3,"매운맛 없는 고추, 샐러드.",,,,
피망잎,290.1,중,Medium,2,"피망 잎, 나물용으로 사용.",,,,
호두,160.4,중,Medium,2,"견과류, 건강에 좋고 저장 용이.",,,,
호박,110.1,하,Low,1,"열매 채소, 다양한 품종, 요리.",,,,
호박잎,190.6,중,Medium,2,"호박 잎, 쌈 및 나물용.",,,,
홍고추,460.5,상,High,3,"붉은 고추, 김치 색깔용.",,,,
